ID,Lng,Lat,Elevation,MAT,MAP,PAR,NDVI,Clay,Silt,Sand,AGB
0,102.32,33.45,3498,3.2262,696.589,2316.72,0.4367,23,39,38,0.102
1,102.15,33.73,3471,3.1702,666.337,2347.02,0.4337,27,37,36,0.051
2,101.93,33.87,3630,2.3451,666.862,2366.56,0.4105,20,49,31,0.087
3,102.07,33.95,3497,2.7286,655.118,2362.63,0.4195,22,42,37,0.069
4,102.03,33.98,3469,3.0242,643.324,2364.34,0.414,18,33,49,0.107
5,102.08,34.01,3508,2.6339,653.408,2365.32,0.4189,24,40,37,0.07
6,102.3,34.04,3722,1.1904,702.96,2363.78,0.4074,20,45,35,0.085
7,102.41,34.11,3683,1.7402,692.385,2359.42,0.3949,19,47,34,0.071
8,103.99,35.95,1939,8.5081,406.127,2255.2,0.3225,19,36,45,0.085
9,104.15,35.95,1791,9.052,385.66,2245.71,0.318,16,36,47,0.065
10,106.4,35.4,1804,8.1105,622.42,1995.88,0.4371,20,30,51,0.094
11,105.99,35.56,1984,6.9427,570.011,2059.7,0.2631,21,43,36,0.102
12,105.74,35.71,1905,7.546,498.27,2106.85,0.2372,21,43,36,0.078
13,104.25,36.23,2224,6.6282,401.327,2282.93,0.1919,21,38,41,0.048
14,104.31,36.28,2079,7.2758,372.673,2283.42,0.1814,21,43,35,0.041
15,106.31,35.82,1942,7.0024,568.192,2096.82,0.2825,23,54,23,0.092
16,95.13,40.08,1498,9.8085,98.4444,2588.38,0.0373,32,29,39,0.041
17,108.03,35.32,1146,10.8627,611.084,1968.23,0.3291,19,41,40,0.094
18,102.68,37.21,3166,2.0373,498.649,2384.94,0.3415,19,45,36,0.06
19,96.25,39.7,2788,3.6087,269.145,2579.94,0.0943,23,26,51,0.034
20,102.7,37.22,3077,1.9448,499.041,2383.79,0.3386,21,39,39,0.061
21,107.9,35.52,1038,11.5194,583.456,2001.94,0.3193,20,45,35,0.088
22,106.4,36.22,1887,8.0452,488.561,2186.64,0.2277,21,43,36,0.085
23,106.37,36.25,1981,7.1229,505.454,2197.59,0.2287,21,43,36,0.0775
24,106.32,36.27,1845,8.3833,465.05,2200.14,0.2323,21,43,36,0.075
25,106.45,36.28,1852,7.7706,492.941,2198.31,0.2202,12,12,76,0.083
26,106.61,36.29,1774,8.1018,500.15,2193.77,0.2114,13,16,70,0.062
27,99.8,38.77,3053,0.6847,419.575,2465.12,0.3563,21,54,25,0.029
28,100.43,38.57,2223,5.6737,335.787,2438.43,0.2966,6,15,79,0.057
29,100.43,38.6,2145,6.0342,323.452,2440,0.2991,20,41,39,0.057
30,95.93,40.52,1202,10.3533,70.0908,2577.83,0.175,22,44,34,0.032
31,100.69,38.62,1856,7.6596,288.067,2447.58,0.2576,17,37,46,0.072
32,100.71,38.62,1866,7.6607,287.964,2448.99,0.2583,8,16,76,0.073
33,100.74,38.62,1884,7.5856,289.743,2451.26,0.2595,4,6,90,0.065
34,103.17,37.72,1692,8.8715,246.075,2428.34,0.22,7,12,82,0.043
35,103.18,37.72,1698,8.805,247.144,2428.89,0.2196,5,6,89,0.051
36,100.78,38.62,1897,7.4228,294.135,2453.98,0.2609,25,40,35,0.049
37,99.38,39.19,1921,6.4971,216.969,2478.64,0.1918,20,43,37,0.041
38,100.12,38.92,1745,7.7845,240.839,2458.57,0.2116,32,29,39,0.042
39,99.34,39.23,1807,6.9658,201.545,2480.13,0.1847,19,40,41,0.031
40,99.1,39.33,1667,7.8663,166.928,2485.52,0.1931,28,35,37,0.042
41,99.58,39.15,2074,5.5514,255.974,2482.8,0.2249,21,38,41,0.054
42,99.1,39.35,1613,7.9691,164.445,2486.79,0.1895,21,50,29,0.038
43,99.1,39.38,1583,8.2005,158.045,2490.23,0.1802,21,49,30,0.04
44,99.59,39.2,1869,6.7659,221.519,2484.43,0.2112,24,23,52,0.067
45,100.95,38.68,1896,7.5869,278.195,2473.32,0.221,24,40,36,0.048
46,101.24,38.57,2028,6.8256,298.65,2479.02,0.2199,21,42,37,0.042
47,99.53,39.26,1621,8.0696,183.138,2484.1,0.1644,24,40,36,0.039
48,98.28,39.76,1678,7.6024,142.235,2531.43,0.0625,21,36,43,0.036
49,98.33,39.74,1624,7.8517,137.813,2527.98,0.0768,21,35,44,0.051
50,105.25,37.17,2078,6.2285,303.886,2411.69,0.1349,22,42,36,0.05
51,105.6,37.06,1521,9.1841,257.773,2374.37,0.1159,21,38,41,0.034
52,99.59,39.32,1456,8.8754,163.29,2490.29,0.1133,29,23,48,0.044
53,106.23,36.87,1815,7.7091,379.573,2332.05,0.1679,12,12,76,0.069
54,105.67,37.1,1498,9.5314,250.759,2378.13,0.1136,21,41,38,0.047
55,105.3,37.31,1702,8.0626,250.933,2418.41,0.1235,11,16,73,0.04
56,105.22,37.35,1628,8.5082,233.814,2421.63,0.121,32,25,43,0.034
57,105.24,37.4,1426,9.5987,203.702,2421.36,0.1193,21,38,41,0.03
58,107.87,36.51,1413,9.3002,553.58,2217.01,0.2347,21,43,36,0.106
59,100.19,39.31,1390,9.6043,165.897,2512.9,0.2698,40,28,33,0.055
60,101.15,38.95,1937,7.3336,254.04,2531.32,0.1227,26,29,45,0.058
61,106.39,37.06,1757,8.168,350.67,2355.68,0.1338,17,25,58,0.045
62,105.73,37.42,1312,10.1062,216.31,2411.1,0.2116,21,38,41,0.03
63,106.49,37.42,1349,10.0358,263.378,2382.34,0.1922,26,24,50,0.034
64,99.36,40.17,1207,9.706,90.7989,2596.52,0.086,21,48,31,0.024
65,99.4,40.17,1200,9.7493,90.7152,2597.73,0.0588,19,47,34,0.031
66,99.43,40.17,1200,9.7376,91.2661,2598.81,0.051,32,29,39,0.033
67,99.46,40.17,1200,9.7327,91.7402,2599.92,0.0525,32,29,39,0.035
68,99.51,40.15,1203,9.7051,94.4384,2599.48,0.053,32,29,39,0.039
69,99.5,40.16,1201,9.7308,93.069,2600.25,0.0536,32,29,39,0.027
70,99.54,40.15,1201,9.6985,95.1077,2600.53,0.0528,32,29,39,0.049
71,101.9,39.25,1775,7.9506,197.547,2621.5,0.0599,8,16,76,0.041
72,106.9,37.44,1500,9.0853,314.005,2370.87,0.1758,9,13,78,0.03
73,107.1,37.6,1547,8.7211,321.365,2375.53,0.1561,14,19,67,0.045
74,106.91,37.76,1415,9.2105,282.551,2388.1,0.1619,21,38,41,0.03
75,105.43,38.31,1404,9.4492,201.445,2492.29,0.072,5,6,89,0.026
76,107.16,37.7,1544,8.5562,320.486,2378.53,0.1739,5,6,89,0.034
77,106.97,37.79,1451,9.0989,286.183,2387.82,0.1607,21,38,41,0.038
78,107.27,37.74,1460,8.8357,317.472,2373.5,0.1605,20,26,54,0.029
79,107.28,37.76,1440,8.9746,312.485,2373.43,0.16,5,6,89,0.034
80,107.32,37.76,1402,9.121,311.643,2370.75,0.1562,5,6,89,0.038
81,106.91,37.96,1408,9.1525,271.317,2395.4,0.1286,22,42,36,0.035
